Sourah Arabic,Sourah Number,Verse Number,Verse Diac,Verse,Label
سورة الشمس,91,12,إِذِ ٱنۢبَعَثَ أَشۡقَىٰهَا,اذ انبعث اشقىٰها,anger
سورة النازعات,79,36,وَبُرِّزَتِ ٱلۡجَحِيمُ لِمَن يَرَىٰ,وبرزت الجحيم لمن يرىٰ,fear
سورة فاطر,35,26,ثُمَّ أَخَذۡتُ ٱلَّذِينَ كَفَرُواْۖ فَكَيۡفَ كَانَ نَكِيرِ,ثم اخذت الذين كفروا فكيف كان نكير,anger
سورة الصف,61,13,وَأُخۡرَىٰ تُحِبُّونَهَاۖ نَصۡرٞ مِّنَ ٱللَّهِ وَفَتۡحٞ قَرِيبٞۗ وَبَشِّرِ ٱلۡمُؤۡمِنِينَ,واخرىٰ تحبونها نصر من الله وفتح قريب وبشر المؤمنين,joy
سورة الحج,22,27,وَأَذِّن فِي ٱلنَّاسِ بِٱلۡحَجِّ يَأۡتُوكَ رِجَالٗا وَعَلَىٰ كُلِّ ضَامِرٖ يَأۡتِينَ مِن كُلِّ فَجٍّ عَمِيقٖ,واذن في الناس بالحج ياتوك رجالا وعلىٰ كل ضامر ياتين من كل فج عميق,joy
سورة الصافات,37,42,فَوَٰكِهُ وَهُم مُّكۡرَمُونَ,فوٰكه وهم مكرمون,joy
سورة ابراهيم,14,8,وَقَالَ مُوسَىٰٓ إِن تَكۡفُرُوٓاْ أَنتُمۡ وَمَن فِي ٱلۡأَرۡضِ جَمِيعٗا فَإِنَّ ٱللَّهَ لَغَنِيٌّ حَمِيدٌ,وقال موسىٰ ان تكفروا انتم ومن في الارض جميعا فان الله لغني حميد,joy
سورة الفتح,48,1,إِنَّا فَتَحۡنَا لَكَ فَتۡحٗا مُّبِينٗا,انا فتحنا لك فتحا مبينا,joy
سورة القمر,54,35,نِّعۡمَةٗ مِّنۡ عِندِنَاۚ كَذَٰلِكَ نَجۡزِي مَن شَكَرَ,نعمة من عندنا كذٰلك نجزي من شكر,joy
سورة الغاشية,88,6,لَّيۡسَ لَهُمۡ طَعَامٌ إِلَّا مِن ضَرِيعٖ,ليس لهم طعام الا من ضريع,fear
سورة الواقعة,56,6,فَكَانَتۡ هَبَآءٗ مُّنۢبَثّٗا,فكانت هباء منبثا,fear
سورة الحاقة,69,33,إِنَّهُۥ كَانَ لَا يُؤۡمِنُ بِٱللَّهِ ٱلۡعَظِيمِ,انه كان لا يؤمن بالله العظيم,anger
سورة الكهف,18,53,وَرَءَا ٱلۡمُجۡرِمُونَ ٱلنَّارَ فَظَنُّوٓاْ أَنَّهُم مُّوَاقِعُوهَا وَلَمۡ يَجِدُواْ عَنۡهَا مَصۡرِفٗا,ورءا المجرمون النار فظنوا انهم مواقعوها ولم يجدوا عنها مصرفا,fear
سورة الدخان,44,15,إِنَّا كَاشِفُواْ ٱلۡعَذَابِ قَلِيلًاۚ إِنَّكُمۡ عَآئِدُونَ,انا كاشفوا العذاب قليلا انكم عائدون,fear
سورة ص,38,32,فَقَالَ إِنِّيٓ أَحۡبَبۡتُ حُبَّ ٱلۡخَيۡرِ عَن ذِكۡرِ رَبِّي حَتَّىٰ تَوَارَتۡ بِٱلۡحِجَابِ,فقال اني احببت حب الخير عن ذكر ربي حتىٰ توارت بالحجاب,sadness
سورة الزمر,39,31,ثُمَّ إِنَّكُمۡ يَوۡمَ ٱلۡقِيَٰمَةِ عِندَ رَبِّكُمۡ تَخۡتَصِمُونَ,ثم انكم يوم القيٰمة عند ربكم تختصمون,fear
سورة الماعون,107,5,ٱلَّذِينَ هُمۡ عَن صَلَاتِهِمۡ سَاهُونَ,الذين هم عن صلاتهم ساهون,anger
سورة لقمان,31,7,وَإِذَا تُتۡلَىٰ عَلَيۡهِ ءَايَٰتُنَا وَلَّىٰ مُسۡتَكۡبِرٗا كَأَن لَّمۡ يَسۡمَعۡهَا كَأَنَّ فِيٓ أُذُنَيۡهِ وَقۡرٗاۖ فَبَشِّرۡهُ بِعَذَابٍ أَلِيمٍ,واذا تتلىٰ عليه ءايٰتنا ولىٰ مستكبرا كان لم يسمعها كان في اذنيه وقرا فبشره بعذاب اليم,anger
سورة الاعراف,7,166,فَلَمَّا عَتَوۡاْ عَن مَّا نُهُواْ عَنۡهُ قُلۡنَا لَهُمۡ كُونُواْ قِرَدَةً خَٰسِـِٔينَ,فلما عتوا عن ما نهوا عنه قلنا لهم كونوا قردة خٰسين,anger
سورة الاسراء,17,92,أَوۡ تُسۡقِطَ ٱلسَّمَآءَ كَمَا زَعَمۡتَ عَلَيۡنَا كِسَفًا أَوۡ تَأۡتِيَ بِٱللَّهِ وَٱلۡمَلَٰٓئِكَةِ قَبِيلًا,او تسقط السماء كما زعمت علينا كسفا او تاتي بالله والملٰئكة قبيلا,anger
سورة نوح,71,17,وَٱللَّهُ أَنۢبَتَكُم مِّنَ ٱلۡأَرۡضِ نَبَاتٗا,والله انبتكم من الارض نباتا,joy
سورة النحل,16,54,ثُمَّ إِذَا كَشَفَ ٱلضُّرَّ عَنكُمۡ إِذَا فَرِيقٞ مِّنكُم بِرَبِّهِمۡ يُشۡرِكُونَ,ثم اذا كشف الضر عنكم اذا فريق منكم بربهم يشركون,anger
سورة القمر,54,51,وَلَقَدۡ أَهۡلَكۡنَآ أَشۡيَاعَكُمۡ فَهَلۡ مِن مُّدَّكِرٖ,ولقد اهلكنا اشياعكم فهل من مدكر,fear
سورة البقرة,2,2,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ,ذٰلك الكتٰب لا ريب فيه هدى للمتقين,joy
سورة الذاريات,51,30,قَالُواْ كَذَٰلِكِ قَالَ رَبُّكِۖ إِنَّهُۥ هُوَ ٱلۡحَكِيمُ ٱلۡعَلِيمُ,قالوا كذٰلك قال ربك انه هو الحكيم العليم,joy
سورة الزخرف,43,25,فَٱنتَقَمۡنَا مِنۡهُمۡۖ فَٱنظُرۡ كَيۡفَ كَانَ عَٰقِبَةُ ٱلۡمُكَذِّبِينَ,فانتقمنا منهم فانظر كيف كان عٰقبة المكذبين,fear
سورة الدخان,44,16,يَوۡمَ نَبۡطِشُ ٱلۡبَطۡشَةَ ٱلۡكُبۡرَىٰٓ إِنَّا مُنتَقِمُونَ,يوم نبطش البطشة الكبرىٰ انا منتقمون,anger
سورة الفيل,105,3,وَأَرۡسَلَ عَلَيۡهِمۡ طَيۡرًا أَبَابِيلَ,وارسل عليهم طيرا ابابيل,fear
سورة طه,20,42,ٱذۡهَبۡ أَنتَ وَأَخُوكَ بِـَٔايَٰتِي وَلَا تَنِيَا فِي ذِكۡرِي,اذهب انت واخوك بايٰتي ولا تنيا في ذكري,joy
سورة غافر,40,81,وَيُرِيكُمۡ ءَايَٰتِهِۦ فَأَيَّ ءَايَٰتِ ٱللَّهِ تُنكِرُونَ,ويريكم ءايٰته فاي ءايٰت الله تنكرون,anger
سورة الاحقاف,46,14,أُوْلَٰٓئِكَ أَصۡحَٰبُ ٱلۡجَنَّةِ خَٰلِدِينَ فِيهَا جَزَآءَۢ بِمَا كَانُواْ يَعۡمَلُونَ,اولٰئك اصحٰب الجنة خٰلدين فيها جزاء بما كانوا يعملون,joy
سورة القيامة,75,18,فَإِذَا قَرَأۡنَٰهُ فَٱتَّبِعۡ قُرۡءَانَهُۥ,فاذا قرانٰه فاتبع قرءانه,joy
سورة القصص,28,69,وَرَبُّكَ يَعۡلَمُ مَا تُكِنُّ صُدُورُهُمۡ وَمَا يُعۡلِنُونَ,وربك يعلم ما تكن صدورهم وما يعلنون,fear
سورة الكافرون,109,6,لَكُمۡ دِينُكُمۡ وَلِيَ دِينِ,لكم دينكم ولي دين,anger
سورة الدخان,44,25,كَمۡ تَرَكُواْ مِن جَنَّٰتٖ وَعُيُونٖ,كم تركوا من جنٰت وعيون,anger
سورة النازعات,79,2,وَٱلنَّٰشِطَٰتِ نَشۡطٗا,والنٰشطٰت نشطا,fear
سورة غافر,40,75,ذَٰلِكُم بِمَا كُنتُمۡ تَفۡرَحُونَ فِي ٱلۡأَرۡضِ بِغَيۡرِ ٱلۡحَقِّ وَبِمَا كُنتُمۡ تَمۡرَحُونَ,ذٰلكم بما كنتم تفرحون في الارض بغير الحق وبما كنتم تمرحون,anger
سورة مريم,19,61,جَنَّٰتِ عَدۡنٍ ٱلَّتِي وَعَدَ ٱلرَّحۡمَٰنُ عِبَادَهُۥ بِٱلۡغَيۡبِۚ إِنَّهُۥ كَانَ وَعۡدُهُۥ مَأۡتِيّٗا,جنٰت عدن التي وعد الرحمٰن عباده بالغيب انه كان وعده ماتيا,joy
سورة الاسراء,17,35,وَأَوۡفُواْ ٱلۡكَيۡلَ إِذَا كِلۡتُمۡ وَزِنُواْ بِٱلۡقِسۡطَاسِ ٱلۡمُسۡتَقِيمِۚ ذَٰلِكَ خَيۡرٞ وَأَحۡسَنُ تَأۡوِيلٗا,واوفوا الكيل اذا كلتم وزنوا بالقسطاس المستقيم ذٰلك خير واحسن تاويلا,fear
سورة محمد,47,34,إِنَّ ٱلَّذِينَ كَفَرُواْ وَصَدُّواْ عَن سَبِيلِ ٱللَّهِ ثُمَّ مَاتُواْ وَهُمۡ كُفَّارٞ فَلَن يَغۡفِرَ ٱللَّهُ لَهُمۡ,ان الذين كفروا وصدوا عن سبيل الله ثم ماتوا وهم كفار فلن يغفر الله لهم,anger
سورة الغاشية,88,5,تُسۡقَىٰ مِنۡ عَيۡنٍ ءَانِيَةٖ,تسقىٰ من عين ءانية,joy
سورة البقرة,2,201,وَمِنۡهُم مَّن يَقُولُ رَبَّنَآ ءَاتِنَا فِي ٱلدُّنۡيَا حَسَنَةٗ وَفِي ٱلۡأٓخِرَةِ حَسَنَةٗ وَقِنَا عَذَابَ ٱلنَّارِ,ومنهم من يقول ربنا ءاتنا في الدنيا حسنة وفي الاخرة حسنة وقنا عذاب النار,joy
سورة المطففين,83,33,وَمَآ أُرۡسِلُواْ عَلَيۡهِمۡ حَٰفِظِينَ,وما ارسلوا عليهم حٰفظين,fear
سورة الفتح,48,21,وَأُخۡرَىٰ لَمۡ تَقۡدِرُواْ عَلَيۡهَا قَدۡ أَحَاطَ ٱللَّهُ بِهَاۚ وَكَانَ ٱللَّهُ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٗا,واخرىٰ لم تقدروا عليها قد احاط الله بها وكان الله علىٰ كل شيء قديرا,fear
سورة العنكبوت,29,13,وَلَيَحۡمِلُنَّ أَثۡقَالَهُمۡ وَأَثۡقَالٗا مَّعَ أَثۡقَالِهِمۡۖ وَلَيُسۡـَٔلُنَّ يَوۡمَ ٱلۡقِيَٰمَةِ عَمَّا كَانُواْ يَفۡتَرُونَ,وليحملن اثقالهم واثقالا مع اثقالهم وليسلن يوم القيٰمة عما كانوا يفترون,fear
سورة يوسف,12,8,إِذۡ قَالُواْ لَيُوسُفُ وَأَخُوهُ أَحَبُّ إِلَىٰٓ أَبِينَا مِنَّا وَنَحۡنُ عُصۡبَةٌ إِنَّ أَبَانَا لَفِي ضَلَٰلٖ مُّبِينٍ,اذ قالوا ليوسف واخوه احب الىٰ ابينا منا ونحن عصبة ان ابانا لفي ضلٰل مبين,sadness
سورة الحجر,15,15,لَقَالُوٓاْ إِنَّمَا سُكِّرَتۡ أَبۡصَٰرُنَا بَلۡ نَحۡنُ قَوۡمٞ مَّسۡحُورُونَ,لقالوا انما سكرت ابصٰرنا بل نحن قوم مسحورون,sadness
سورة الكهف,18,70,قَالَ فَإِنِ ٱتَّبَعۡتَنِي فَلَا تَسۡـَٔلۡنِي عَن شَيۡءٍ حَتَّىٰٓ أُحۡدِثَ لَكَ مِنۡهُ ذِكۡرٗا,قال فان اتبعتني فلا تسلني عن شيء حتىٰ احدث لك منه ذكرا,sadness
سورة الفرقان,25,50,وَلَقَدۡ صَرَّفۡنَٰهُ بَيۡنَهُمۡ لِيَذَّكَّرُواْ فَأَبَىٰٓ أَكۡثَرُ ٱلنَّاسِ إِلَّا كُفُورٗا,ولقد صرفنٰه بينهم ليذكروا فابىٰ اكثر الناس الا كفورا,anger
سورة الزخرف,43,61,وَإِنَّهُۥ لَعِلۡمٞ لِّلسَّاعَةِ فَلَا تَمۡتَرُنَّ بِهَا وَٱتَّبِعُونِۚ هَٰذَا صِرَٰطٞ مُّسۡتَقِيمٞ,وانه لعلم للساعة فلا تمترن بها واتبعون هٰذا صرٰط مستقيم,joy
سورة الروم,30,4,فِي بِضۡعِ سِنِينَۗ لِلَّهِ ٱلۡأَمۡرُ مِن قَبۡلُ وَمِنۢ بَعۡدُۚ وَيَوۡمَئِذٖ يَفۡرَحُ ٱلۡمُؤۡمِنُونَ,في بضع سنين لله الامر من قبل ومن بعد ويومئذ يفرح المؤمنون,joy
سورة طه,20,112,وَمَن يَعۡمَلۡ مِنَ ٱلصَّٰلِحَٰتِ وَهُوَ مُؤۡمِنٞ فَلَا يَخَافُ ظُلۡمٗا وَلَا هَضۡمٗا,ومن يعمل من الصٰلحٰت وهو مؤمن فلا يخاف ظلما ولا هضما,anger
سورة الممتحنة,60,7,۞عَسَى ٱللَّهُ أَن يَجۡعَلَ بَيۡنَكُمۡ وَبَيۡنَ ٱلَّذِينَ عَادَيۡتُم مِّنۡهُم مَّوَدَّةٗۚ وَٱللَّهُ قَدِيرٞۚ وَٱللَّهُ غَفُورٞ رَّحِيمٞ,عسى الله ان يجعل بينكم وبين الذين عاديتم منهم مودة والله قدير والله غفور رحيم,joy
سورة غافر,40,80,وَلَكُمۡ فِيهَا مَنَٰفِعُ وَلِتَبۡلُغُواْ عَلَيۡهَا حَاجَةٗ فِي صُدُورِكُمۡ وَعَلَيۡهَا وَعَلَى ٱلۡفُلۡكِ تُحۡمَلُونَ,ولكم فيها منٰفع ولتبلغوا عليها حاجة في صدوركم وعليها وعلى الفلك تحملون,joy
سورة الليل,92,11,وَمَا يُغۡنِي عَنۡهُ مَالُهُۥٓ إِذَا تَرَدَّىٰٓ,وما يغني عنه ماله اذا تردىٰ,fear
سورة الشعراء,26,173,وَأَمۡطَرۡنَا عَلَيۡهِم مَّطَرٗاۖ فَسَآءَ مَطَرُ ٱلۡمُنذَرِينَ,وامطرنا عليهم مطرا فساء مطر المنذرين,anger
سورة الجن,72,25,قُلۡ إِنۡ أَدۡرِيٓ أَقَرِيبٞ مَّا تُوعَدُونَ أَمۡ يَجۡعَلُ لَهُۥ رَبِّيٓ أَمَدًا,قل ان ادري اقريب ما توعدون ام يجعل له ربي امدا,fear
سورة النازعات,79,19,وَأَهۡدِيَكَ إِلَىٰ رَبِّكَ فَتَخۡشَىٰ,واهديك الىٰ ربك فتخشىٰ,fear
سورة الاحزاب,33,58,وَٱلَّذِينَ يُؤۡذُونَ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ بِغَيۡرِ مَا ٱكۡتَسَبُواْ فَقَدِ ٱحۡتَمَلُواْ بُهۡتَٰنٗا وَإِثۡمٗا مُّبِينٗا,والذين يؤذون المؤمنين والمؤمنٰت بغير ما اكتسبوا فقد احتملوا بهتٰنا واثما مبينا,anger
سورة العلق,96,3,ٱقۡرَأۡ وَرَبُّكَ ٱلۡأَكۡرَمُ,اقرا وربك الاكرم,joy
سورة النساء,4,4,وَءَاتُواْ ٱلنِّسَآءَ صَدُقَٰتِهِنَّ نِحۡلَةٗۚ فَإِن طِبۡنَ لَكُمۡ عَن شَيۡءٖ مِّنۡهُ نَفۡسٗا فَكُلُوهُ هَنِيٓـٔٗا مَّرِيٓـٔٗا,وءاتوا النساء صدقٰتهن نحلة فان طبن لكم عن شيء منه نفسا فكلوه هنيا مريا,joy
سورة ص,38,66,رَبُّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا ٱلۡعَزِيزُ ٱلۡغَفَّٰرُ,رب السمٰوٰت والارض وما بينهما العزيز الغفٰر,joy
سورة مريم,19,95,وَكُلُّهُمۡ ءَاتِيهِ يَوۡمَ ٱلۡقِيَٰمَةِ فَرۡدًا,وكلهم ءاتيه يوم القيٰمة فردا,fear
سورة الزخرف,43,21,أَمۡ ءَاتَيۡنَٰهُمۡ كِتَٰبٗا مِّن قَبۡلِهِۦ فَهُم بِهِۦ مُسۡتَمۡسِكُونَ,ام ءاتينٰهم كتٰبا من قبله فهم به مستمسكون,anger
سورة نوح,71,24,وَقَدۡ أَضَلُّواْ كَثِيرٗاۖ وَلَا تَزِدِ ٱلظَّٰلِمِينَ إِلَّا ضَلَٰلٗا,وقد اضلوا كثيرا ولا تزد الظٰلمين الا ضلٰلا,anger
سورة يس,36,24,إِنِّيٓ إِذٗا لَّفِي ضَلَٰلٖ مُّبِينٍ,اني اذا لفي ضلٰل مبين,sadness
سورة الرحمٰن,55,1,ٱلرَّحۡمَٰنُ,الرحمٰن,joy
سورة الملك,67,6,وَلِلَّذِينَ كَفَرُواْ بِرَبِّهِمۡ عَذَابُ جَهَنَّمَۖ وَبِئۡسَ ٱلۡمَصِيرُ,وللذين كفروا بربهم عذاب جهنم وبئس المصير,anger
سورة ال عمران,3,8,رَبَّنَا لَا تُزِغۡ قُلُوبَنَا بَعۡدَ إِذۡ هَدَيۡتَنَا وَهَبۡ لَنَا مِن لَّدُنكَ رَحۡمَةًۚ إِنَّكَ أَنتَ ٱلۡوَهَّابُ,ربنا لا تزغ قلوبنا بعد اذ هديتنا وهب لنا من لدنك رحمة انك انت الوهاب,fear
سورة القارعة,101,4,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ,يوم يكون الناس كالفراش المبثوث,fear
سورة الشورىٰ,42,30,وَمَآ أَصَٰبَكُم مِّن مُّصِيبَةٖ فَبِمَا كَسَبَتۡ أَيۡدِيكُمۡ وَيَعۡفُواْ عَن كَثِيرٖ,وما اصٰبكم من مصيبة فبما كسبت ايديكم ويعفوا عن كثير,sadness
سورة الكهف,18,25,وَلَبِثُواْ فِي كَهۡفِهِمۡ ثَلَٰثَ مِاْئَةٖ سِنِينَ وَٱزۡدَادُواْ تِسۡعٗا,ولبثوا في كهفهم ثلٰث مائة سنين وازدادوا تسعا,sadness
سورة الزخرف,43,67,ٱلۡأَخِلَّآءُ يَوۡمَئِذِۭ بَعۡضُهُمۡ لِبَعۡضٍ عَدُوٌّ إِلَّا ٱلۡمُتَّقِينَ,الاخلاء يومئذ بعضهم لبعض عدو الا المتقين,anger
سورة محمد,47,1,ٱلَّذِينَ كَفَرُواْ وَصَدُّواْ عَن سَبِيلِ ٱللَّهِ أَضَلَّ أَعۡمَٰلَهُمۡ,الذين كفروا وصدوا عن سبيل الله اضل اعمٰلهم,anger
سورة البروج,85,6,إِذۡ هُمۡ عَلَيۡهَا قُعُودٞ,اذ هم عليها قعود,sadness
سورة فصلت,41,54,أَلَآ إِنَّهُمۡ فِي مِرۡيَةٖ مِّن لِّقَآءِ رَبِّهِمۡۗ أَلَآ إِنَّهُۥ بِكُلِّ شَيۡءٖ مُّحِيطُۢ,الا انهم في مرية من لقاء ربهم الا انه بكل شيء محيط,fear
سورة الجاثية,45,18,ثُمَّ جَعَلۡنَٰكَ عَلَىٰ شَرِيعَةٖ مِّنَ ٱلۡأَمۡرِ فَٱتَّبِعۡهَا وَلَا تَتَّبِعۡ أَهۡوَآءَ ٱلَّذِينَ لَا يَعۡلَمُونَ,ثم جعلنٰك علىٰ شريعة من الامر فاتبعها ولا تتبع اهواء الذين لا يعلمون,joy
سورة المطففين,83,32,وَإِذَا رَأَوۡهُمۡ قَالُوٓاْ إِنَّ هَٰٓؤُلَآءِ لَضَآلُّونَ,واذا راوهم قالوا ان هٰؤلاء لضالون,fear
سورة التكوير,81,9,بِأَيِّ ذَنۢبٖ قُتِلَتۡ,باي ذنب قتلت,sadness
سورة الزخرف,43,37,وَإِنَّهُمۡ لَيَصُدُّونَهُمۡ عَنِ ٱلسَّبِيلِ وَيَحۡسَبُونَ أَنَّهُم مُّهۡتَدُونَ,وانهم ليصدونهم عن السبيل ويحسبون انهم مهتدون,fear
سورة النور,24,20,وَلَوۡلَا فَضۡلُ ٱللَّهِ عَلَيۡكُمۡ وَرَحۡمَتُهُۥ وَأَنَّ ٱللَّهَ رَءُوفٞ رَّحِيمٞ,ولولا فضل الله عليكم ورحمته وان الله رءوف رحيم,joy
سورة المؤمنون,23,114,قَٰلَ إِن لَّبِثۡتُمۡ إِلَّا قَلِيلٗاۖ لَّوۡ أَنَّكُمۡ كُنتُمۡ تَعۡلَمُونَ,قٰل ان لبثتم الا قليلا لو انكم كنتم تعلمون,anger
سورة المدثر,74,39,إِلَّآ أَصۡحَٰبَ ٱلۡيَمِينِ,الا اصحٰب اليمين,sadness
سورة الشعراء,26,172,ثُمَّ دَمَّرۡنَا ٱلۡأٓخَرِينَ,ثم دمرنا الاخرين,anger
سورة الاسراء,17,96,قُلۡ كَفَىٰ بِٱللَّهِ شَهِيدَۢا بَيۡنِي وَبَيۡنَكُمۡۚ إِنَّهُۥ كَانَ بِعِبَادِهِۦ خَبِيرَۢا بَصِيرٗا,قل كفىٰ بالله شهيدا بيني وبينكم انه كان بعباده خبيرا بصيرا,sadness
سورة المطففين,83,4,أَلَا يَظُنُّ أُوْلَٰٓئِكَ أَنَّهُم مَّبۡعُوثُونَ,الا يظن اولٰئك انهم مبعوثون,fear
سورة النمل,27,3,ٱلَّذِينَ يُقِيمُونَ ٱلصَّلَوٰةَ وَيُؤۡتُونَ ٱلزَّكَوٰةَ وَهُم بِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,الذين يقيمون الصلوٰة ويؤتون الزكوٰة وهم بالاخرة هم يوقنون,joy
سورة الشعراء,26,207,مَآ أَغۡنَىٰ عَنۡهُم مَّا كَانُواْ يُمَتَّعُونَ,ما اغنىٰ عنهم ما كانوا يمتعون,sadness
سورة ص,38,77,قَالَ فَٱخۡرُجۡ مِنۡهَا فَإِنَّكَ رَجِيمٞ,قال فاخرج منها فانك رجيم,anger
سورة النازعات,79,17,ٱذۡهَبۡ إِلَىٰ فِرۡعَوۡنَ إِنَّهُۥ طَغَىٰ,اذهب الىٰ فرعون انه طغىٰ,anger
سورة المؤمنون,23,2,ٱلَّذِينَ هُمۡ فِي صَلَاتِهِمۡ خَٰشِعُونَ,الذين هم في صلاتهم خٰشعون,joy
سورة القصص,28,86,وَمَا كُنتَ تَرۡجُوٓاْ أَن يُلۡقَىٰٓ إِلَيۡكَ ٱلۡكِتَٰبُ إِلَّا رَحۡمَةٗ مِّن رَّبِّكَۖ فَلَا تَكُونَنَّ ظَهِيرٗا لِّلۡكَٰفِرِينَ,وما كنت ترجوا ان يلقىٰ اليك الكتٰب الا رحمة من ربك فلا تكونن ظهيرا للكٰفرين,fear
سورة النساء,4,67,وَإِذٗا لَّأٓتَيۡنَٰهُم مِّن لَّدُنَّآ أَجۡرًا عَظِيمٗا,واذا لاتينٰهم من لدنا اجرا عظيما,joy
سورة الشعراء,26,182,وَزِنُواْ بِٱلۡقِسۡطَاسِ ٱلۡمُسۡتَقِيمِ,وزنوا بالقسطاس المستقيم,fear
سورة الحجر,15,92,فَوَرَبِّكَ لَنَسۡـَٔلَنَّهُمۡ أَجۡمَعِينَ,فوربك لنسلنهم اجمعين,anger
سورة الذاريات,51,19,وَفِيٓ أَمۡوَٰلِهِمۡ حَقّٞ لِّلسَّآئِلِ وَٱلۡمَحۡرُومِ,وفي اموٰلهم حق للسائل والمحروم,sadness
سورة مريم,19,63,تِلۡكَ ٱلۡجَنَّةُ ٱلَّتِي نُورِثُ مِنۡ عِبَادِنَا مَن كَانَ تَقِيّٗا,تلك الجنة التي نورث من عبادنا من كان تقيا,joy
سورة طه,20,39,أَنِ ٱقۡذِفِيهِ فِي ٱلتَّابُوتِ فَٱقۡذِفِيهِ فِي ٱلۡيَمِّ فَلۡيُلۡقِهِ ٱلۡيَمُّ بِٱلسَّاحِلِ يَأۡخُذۡهُ عَدُوّٞ لِّي وَعَدُوّٞ لَّهُۥۚ وَأَلۡقَيۡتُ عَلَيۡكَ مَحَبَّةٗ مِّنِّي وَلِتُصۡنَعَ عَلَىٰ عَيۡنِيٓ,ان اقذفيه في التابوت فاقذفيه في اليم فليلقه اليم بالساحل ياخذه عدو لي وعدو له والقيت عليك محبة مني ولتصنع علىٰ عيني,fear
سورة المؤمنون,23,16,ثُمَّ إِنَّكُمۡ يَوۡمَ ٱلۡقِيَٰمَةِ تُبۡعَثُونَ,ثم انكم يوم القيٰمة تبعثون,fear
سورة الصافات,37,44,عَلَىٰ سُرُرٖ مُّتَقَٰبِلِينَ,علىٰ سرر متقٰبلين,joy
سورة الطارق,86,9,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,يوم تبلى السرائر,fear
سورة الانبياء,21,29,۞وَمَن يَقُلۡ مِنۡهُمۡ إِنِّيٓ إِلَٰهٞ مِّن دُونِهِۦ فَذَٰلِكَ نَجۡزِيهِ جَهَنَّمَۚ كَذَٰلِكَ نَجۡزِي ٱلظَّٰلِمِينَ,ومن يقل منهم اني الٰه من دونه فذٰلك نجزيه جهنم كذٰلك نجزي الظٰلمين,anger
سورة غافر,40,73,ثُمَّ قِيلَ لَهُمۡ أَيۡنَ مَا كُنتُمۡ تُشۡرِكُونَ,ثم قيل لهم اين ما كنتم تشركون,fear
سورة النحل,16,46,أَوۡ يَأۡخُذَهُمۡ فِي تَقَلُّبِهِمۡ فَمَا هُم بِمُعۡجِزِينَ,او ياخذهم في تقلبهم فما هم بمعجزين,fear
سورة لقمان,31,8,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتُ ٱلنَّعِيمِ,ان الذين ءامنوا وعملوا الصٰلحٰت لهم جنٰت النعيم,joy
سورة الروم,30,60,فَٱصۡبِرۡ إِنَّ وَعۡدَ ٱللَّهِ حَقّٞۖ وَلَا يَسۡتَخِفَّنَّكَ ٱلَّذِينَ لَا يُوقِنُونَ,فاصبر ان وعد الله حق ولا يستخفنك الذين لا يوقنون,sadness
سورة طه,20,126,قَالَ كَذَٰلِكَ أَتَتۡكَ ءَايَٰتُنَا فَنَسِيتَهَاۖ وَكَذَٰلِكَ ٱلۡيَوۡمَ تُنسَىٰ,قال كذٰلك اتتك ءايٰتنا فنسيتها وكذٰلك اليوم تنسىٰ,anger
سورة الهمزة,104,1,وَيۡلٞ لِّكُلِّ هُمَزَةٖ لُّمَزَةٍ,ويل لكل همزة لمزة,fear
سورة الزخرف,43,43,فَٱسۡتَمۡسِكۡ بِٱلَّذِيٓ أُوحِيَ إِلَيۡكَۖ إِنَّكَ عَلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ,فاستمسك بالذي اوحي اليك انك علىٰ صرٰط مستقيم,joy
سورة الكهف,18,54,وَلَقَدۡ صَرَّفۡنَا فِي هَٰذَا ٱلۡقُرۡءَانِ لِلنَّاسِ مِن كُلِّ مَثَلٖۚ وَكَانَ ٱلۡإِنسَٰنُ أَكۡثَرَ شَيۡءٖ جَدَلٗا,ولقد صرفنا في هٰذا القرءان للناس من كل مثل وكان الانسٰن اكثر شيء جدلا,sadness
سورة الحج,22,19,۞هَٰذَانِ خَصۡمَانِ ٱخۡتَصَمُواْ فِي رَبِّهِمۡۖ فَٱلَّذِينَ كَفَرُواْ قُطِّعَتۡ لَهُمۡ ثِيَابٞ مِّن نَّارٖ يُصَبُّ مِن فَوۡقِ رُءُوسِهِمُ ٱلۡحَمِيمُ,هٰذان خصمان اختصموا في ربهم فالذين كفروا قطعت لهم ثياب من نار يصب من فوق رءوسهم الحميم,anger
